# Logfile created on 2020-05-11 16:51:25 +0000 by logger.rb/66358
[2020-05-11T16:51:25+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-05-11T16:51:25+00:00] INFO: *** Chef 14.14.29 ***
[2020-05-11T16:51:25+00:00] INFO: Platform: x86_64-linux
[2020-05-11T16:51:25+00:00] INFO: Chef-client pid: 30
[2020-05-11T16:51:25+00:00] INFO: The plugin path /etc/chef/ohai/plugins does not exist. Skipping...
[2020-05-11T16:51:26+00:00] WARN: Plugin Network: unable to detect ipaddress
[2020-05-11T16:51:26+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2020-05-11T16:51:26+00:00] INFO: Run List is [recipe[gitlab]]
[2020-05-11T16:51:26+00:00] INFO: Run List expands to [gitlab]
[2020-05-11T16:51:26+00:00] INFO: Starting Chef Run for 5cb00d18cdca
[2020-05-11T16:51:26+00:00] INFO: Running start handlers
[2020-05-11T16:51:26+00:00] INFO: Start handlers complete.
[2020-05-11T16:51:26+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.1.0, gitaly@0.1.0, praefect@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@4.3.0, acme@4.1.1, crond@0.1.0]
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/letsencrypt_renew.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster_disable.rb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/cable.yml.erb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
